tissue,round_x,before_ncc,after_ncc,intensity,mean_rmse
GCA012TIB_,/nfs2/baos1/rudravg/GCA012TIB_DAPI_UV_12ms_ROUND_16_initial_reg.tif,[0.91261007],[0.95435482],2.4822134105558513,1.5206258
GCA012TIB_,/nfs2/baos1/rudravg/GCA012TIB_DAPI_UV_12ms_ROUND_17_initial_reg.tif,[0.90416753],[0.9503503],2.4233574744733533,1.5246348
GCA012TIB_,/nfs2/baos1/rudravg/GCA012TIB_DAPI_UV_12ms_ROUND_18_initial_reg.tif,[0.88562572],[0.94489385],2.7589681652840263,1.5329492
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_01_initial_reg.tif,[0.95725557],[0.97471339],1.3439563974720765,1.4532372
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_02_initial_reg.tif,[1.],[0.99794321],1.0029228560033132,1.436341
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.92704964],[0.95652039],3.2670149330373803,1.4681981
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.92468002],[0.96184623],2.4505114013719203,1.4768515
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.93868987],[0.96828355],2.288968617655724,1.4593085
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.92566841],[0.96585193],2.241012995351956,1.4839203
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.91459681],[0.95790393],2.32261445278308,1.4932947
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.90480803],[0.95398955],2.7251507652774944,1.5047395
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.88978436],[0.94303713],3.261515517874877,1.5197723
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.89468878],[0.94551423],3.5910162672043375,1.5247072
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.88502081],[0.93722746],3.3335750512077267,1.5256642
