Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
798,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.9760521655644394e-12,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
805,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
818,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
833,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
847,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
857,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.27088755626222e-14,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
892,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
910,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1011,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1026,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4.7004501924044e-09,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1068,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.996187909696304,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1079,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1094,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.999995181135448,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1104,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1114,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1132,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1134,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.84886516324731e-12,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1142,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.86546832279171e-10,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1167,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.999999994803013,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1179,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1201,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1203,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999065901489,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1247,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1273,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1286,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1293,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999550807530162,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1324,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1340,False,False,False,False,False,False,False,False,False,True,True,False,False,False,8.267194653440751e-09,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1351,False,False,False,True,False,False,True,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1386,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1419,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0022598118354438,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1436,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1520,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999953971,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1529,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999880031,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1530,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.01184407048206e-05,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1546,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999994437700372,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1552,False,False,True,True,False,False,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1554,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1563,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.999999300913124,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1564,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999694301,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1580,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999925579,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1585,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1613,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999984298709,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1614,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.52347141102032e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1678,False,False,False,False,False,False,False,False,False,False,False,True,False,True,8.55256571261989e-09,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1681,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.83160731527084e-05,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
