Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Mean_MUC2,Undefined,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
37,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.891223104570043,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.0018139646196104,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.999250329991747,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.853197642320674,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0004485724053467,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
42,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,0.999936478597034,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.744451234857398,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
44,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.996727626298177,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.996124054638046,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
46,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,0.566687868316404,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,0.999928079618942,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.100450246457071,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,0.986809038188671,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,0.868484760273494,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,0.0108898969872692,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,0.395886995907228,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.823583985838624,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
54,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.84164924967269,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
55,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,0.0158750865380594,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,0.344906244860946,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,0.713578563209552,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0110796887550497,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
59,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,0.13206868170712,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0.0327509912080405,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
61,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0.208485520081237,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,0.741479301777959,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0003499385869554,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,False,True,False,False,False,False,False,True,False,True,False,True,True,True,False,0.000345807137976,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.180126374566158,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.069172144975924,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
67,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.794709033042192,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
68,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.183550828836921,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
69,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.159206267531185,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
